Investments,Currency,Quantity/Nominal Value,Market Value EUR' 000,% of Net Assets
Singapore Exchange Ltd.,SGD,34200,308,0.25
Asustek Computer Inc.,TWD,17000,309,0.24
Hartford Financial Services Group Inc. (The),USD,2918,308,0.24
Assured Guaranty Ltd.,USD,3525,307,0.24
Metro Inc. 'A',CAD,5067,307,0.24
DCM Holdings Co. Ltd.,JPY,34700,305,0.24
Asics Corp.,JPY,15900,304,0.24
Tyler Technologies Inc.,USD,543,302,0.24
Taiwan Mobile Co. Ltd.,TWD,90000,301,0.24
Far EasTone Telecommunications Co. Ltd.,TWD,114000,300,0.24
Hydro One Ltd. Reg. S,CAD,10071,299,0.24
Robinhood Markets Inc. 'A',USD,8274,298,0.24
Exxon Mobil Corp.,USD,2862,297,0.24
PCCW Ltd.,HKD,527871,297,0.24
Cia Energetica de Minas Gerais Preference,BRL,170701,296,0.24
Otsuka Holdings Co. Ltd.,JPY,5600,296,0.24
Wix.com Ltd.,USD,1426,295,0.23
IG Group Holdings plc,GBP,24597,295,0.24
Orkla ASA,NOK,35040,293,0.23
Sankyo Co. Ltd.,JPY,22300,292,0.23
Sprouts Farmers Market Inc.,USD,2372,291,0.23
Steelcase Inc. 'A',USD,25463,291,0.23
HKT Trust & HKT Ltd. 'SS',HKD,243000,290,0.23
Piedmont Office Realty Trust Inc. REIT 'A',USD,32782,290,0.23
First Financial Holding Co. Ltd.,TWD,361921,289,0.23
OSI Systems Inc.,USD,1774,287,0.23
Veralto Corp.,USD,2903,285,0.23
Russel Metals Inc.,CAD,10042,284,0.23
Konecranes OYJ,EUR,4634,284,0.22
Realtek Semiconductor Corp.,TWD,17000,284,0.23
Equinor ASA,NOK,12599,284,0.23
Hellenic Telecommunications Organization SA,EUR,19034,283,0.23
Cargurus Inc. 'A',USD,7948,280,0.22
Duskin Co. Ltd.,JPY,12200,278,0.22
Celestica Inc.,CAD,3109,277,0.22
Expedia Group Inc.,USD,1539,277,0.22
Gjensidige Forsikring ASA,NOK,16238,277,0.22
Vodafone Group plc,GBP,334277,276,0.22
Amdocs Ltd.,USD,3326,273,0.22
Williams-Sonoma Inc.,USD,1528,273,0.22
Pop Mart International Group Ltd. Reg. S,HKD,24400,272,0.22
Cboe Global Markets Inc.,USD,1437,271,0.22
International Business Machines Corp.,USD,1275,271,0.21
Kia Corp.,KRW,4109,271,0.22
Orange SA,EUR,28096,270,0.22
PROG Holdings Inc.,USD,6625,270,0.21
Teladoc Health Inc.,USD,30751,270,0.21
China CITIC Bank Corp. Ltd. 'H',HKD,403000,269,0.21
Royal Bank of Canada,CAD,2315,269,0.21
Allison Transmission Holdings Inc.,USD,2531,264,0.21
REN - Redes Energeticas Nacionais SGPS SA,EUR,115831,264,0.21
Woori Financial Group Inc.,KRW,26303,265,0.21
Sheng Siong Group Ltd.,SGD,226800,263,0.21
Jackson Financial Inc. 'A',USD,3079,259,0.21
Prysmian SpA,EUR,4194,259,0.21
Meituan Reg. S 'B',HKD,13700,258,0.20
Etsy Inc.,USD,5049,258,0.20
Leidos Holdings Inc.,USD,1845,257,0.20
ADMA Biologics Inc.,USD,15462,256,0.20
Konami Group Corp.,JPY,2800,255,0.20
Ally Financial Inc.,USD,7311,254,0.20
The RMR Group Inc. 'A',USD,12643,252,0.20
Radian Group Inc.,USD,8127,249,0.20
BioNTech SE ADR,USD,2251,248,0.20
Parsons Corp.,USD,2781,248,0.20
White Mountains Insurance Group Ltd.,USD,130,244,0.20
Pilgrim's Pride Corp.,USD,5513,242,0.19
Old Republic International Corp.,USD,6908,241,0.19
Lenovo Group Ltd.,HKD,190000,238,0.19
Vipshop Holdings Ltd. ADR,USD,18228,237,0.19
Texas Roadhouse Inc. 'A',USD,1358,237,0.19
Coterra Energy Inc.,USD,9578,236,0.19
Carpenter Technology Corp.,USD,1430,234,0.19
Volkswagen AG Preference,EUR,2626,234,0.19
Transmissora Alianca de Energia Eletrica S/A,BRL,45000,231,0.18
Loblaw Cos. Ltd.,CAD,1808,230,0.18
DXC Technology Co.,USD,11939,230,0.18
International Distribution Services plc,GBP,51522,227,0.18
Tryg A/S,DKK,11067,225,0.18
BorgWarner Inc.,USD,7318,225,0.18
Royalty Pharma plc 'A',USD,9078,224,0.18
Open Text Corp.,CAD,8179,223,0.18
ACCO Brands Corp.,USD,43673,221,0.18
Telefonica Brasil SA ADR,USD,29443,215,0.17
Kinden Corp.,JPY,11500,215,0.17
Universal Health Services Inc. 'B',USD,1206,209,0.17
Santen Pharmaceutical Co. Ltd.,JPY,21000,209,0.17
Subaru Corp.,JPY,12000,208,0.17
Adobe Inc.,USD,483,207,0.16
ROCKWOOL A/S 'B',DKK,605,207,0.16
Pinterest Inc. 'A',USD,7410,207,0.16
Alkermes plc,USD,7330,204,0.16
Banco do Brasil SA,BRL,53400,202,0.16
SK Telecom Co. Ltd. ADR,USD,9869,201,0.16
JB Hi-Fi Ltd.,AUD,3611,200,0.16
Daiwa House Industry Co. Ltd.,JPY,6700,200,0.16
Oesterreichische Post AG,EUR,6939,200,0.16
Tri Pointe Homes Inc.,USD,5605,196,0.16
Lockheed Martin Corp.,USD,416,195,0.16
Telstra Group Ltd.,AUD,81348,195,0.15
The Bank of New York Mellon Corp.,USD,2599,193,0.15
Evonik Industries AG,EUR,11505,192,0.15
Ono Pharmaceutical Co. Ltd.,JPY,19000,191,0.15
Abercrombie & Fitch Co. 'A',USD,1310,189,0.15
Capcom Co. Ltd.,JPY,8800,188,0.15
Swisscom AG,CHF,350,188,0.15
Tenet Healthcare Corp.,USD,1514,185,0.15
Primo Brands Corp.,USD,6165,183,0.15
Petroleo Brasileiro SA ADR Preference,USD,15888,182,0.14
Jazz Pharmaceuticals plc,USD,1521,181,0.14
Maplebear Inc.,USD,4514,181,0.14
Pro Medicus Ltd.,AUD,1205,180,0.14
G-III Apparel Group Ltd.,USD,5489,173,0.14
LG Electronics Inc.,KRW,3144,172,0.14
Northern Trust Corp.,USD,1739,172,0.14
Synnex Technology International Corp.,TWD,82000,171,0.14
Preferred Bank,USD,1998,167,0.13
Commerce Bancshares Inc.,USD,2731,164,0.13
Liberty Global Ltd. 'C',USD,12860,163,0.13
Tsubakimoto Chain Co.,JPY,13500,162,0.13
Packaging Corp. of America,USD,743,162,0.13
Kakaku.com Inc.,JPY,10800,161,0.13
Westinghouse Air Brake Technologies Corp.,USD,878,161,0.13
Western Union Co. (The),USD,15327,157,0.12
NETGEAR Inc.,USD,5796,156,0.12
Kewpie Corp.,JPY,7400,153,0.12
Sonos Inc.,USD,10523,153,0.12
Tomy Co. Ltd.,JPY,5400,151,0.12
Brandywine Realty Trust REIT,USD,26779,145,0.12
National HealthCare Corp.,USD,1397,145,0.12
National Bank of Greece SA,EUR,18479,142,0.11
Zeta Global Holdings Corp. 'A',USD,7989,139,0.11
Cava Group Inc.,USD,1260,137,0.11
USANA Health Sciences Inc.,USD,3947,137,0.11
Daiichi Sankyo Co. Ltd.,JPY,5000,134,0.11
TeamViewer SE Reg. S,EUR,13940,133,0.11
Brady Corp. 'A',USD,1850,132,0.10
Lincoln National Corp.,USD,4316,132,0.10
Sino Land Co. Ltd.,HKD,135361,132,0.10
City Holding Co.,USD,1138,130,0.10
PDD Holdings Inc. ADR,USD,1389,130,0.10
Recruit Holdings Co. Ltd.,JPY,1900,130,0.10
Transcontinental Inc. 'A',CAD,10463,130,0.10
SK Telecom Co. Ltd.,KRW,3548,129,0.10
Zurich Insurance Group AG,CHF,222,128,0.10
Great-West Lifeco Inc.,CAD,3952,127,0.10
Tamron Co. Ltd.,JPY,4600,127,0.10
Insurance Australia Group Ltd.,AUD,24731,125,0.10
Logitech International SA,CHF,1529,122,0.10
HUB24 Ltd.,AUD,2913,121,0.10
Sydbank A/S,DKK,2381,121,0.10
RLI Corp.,USD,750,119,0.09
Whitecap Resources Inc.,CAD,17311,119,0.10
Silicon Motion Technology Corp. ADR,USD,2197,115,0.09
GungHo Online Entertainment Inc.,JPY,5469,112,0.09
Canon Marketing Japan Inc.,JPY,3500,111,0.09
Clear Secure Inc. 'A',USD,4231,109,0.09
Mastercard Inc. 'A',USD,210,107,0.08
Sunrise Communications AG ADR 'A',USD,2572,107,0.09
Gartner Inc.,USD,224,105,0.08
Adyen NV Reg. S,EUR,73,105,0.08
UMB Financial Corp.,USD,956,104,0.08
Continental AG,EUR,1592,103,0.08
Toast Inc. 'A',USD,2816,99,0.08
Galenica AG Reg. S,CHF,1243,99,0.08
Technology One Ltd.,AUD,5066,95,0.07
Banca Mediolanum SpA,EUR,8250,95,0.07
United Therapeutics Corp.,USD,275,94,0.07
NS Solutions Corp.,JPY,3700,93,0.07
The North West Co. Inc.,CAD,2768,91,0.07
Omega Healthcare Investors Inc. REIT,USD,2346,86,0.07
ScanSource Inc.,USD,1869,86,0.07
OneMain Holdings Inc.,USD,1608,81,0.06
Bread Financial Holdings Inc.,USD,1341,79,0.06
HealthStream Inc.,USD,2500,77,0.06
Taikisha Ltd.,JPY,2500,77,0.06
Signify NV Reg. S,EUR,3535,76,0.06
Extreme Networks Inc.,USD,4637,75,0.06
Lotus Bakeries NV,EUR,7,75,0.06
Roper Technologies Inc.,USD,148,74,0.06
Sonae SGPS SA,EUR,78066,71,0.06
SKY Perfect JSAT Holdings Inc.,JPY,12500,70,0.06
Fresenius SE & Co. KGaA,EUR,2055,69,0.05
Brother Industries Ltd.,JPY,4100,68,0.05
Inpex Corp.,JPY,5600,68,0.05
Rush Street Interactive Inc.,USD,5121,68,0.05
Van Lanschot Kempen NV CVA,EUR,1539,67,0.05
RTX Corp.,USD,600,67,0.05
NetLink NBN Trust Reg. S,SGD,108100,67,0.05
QCR Holdings Inc.,USD,850,66,0.05
TIM SA ADR,USD,5708,65,0.05
Lear Corp.,USD,684,63,0.05
The Kraft Heinz Co.,USD,2099,62,0.05
Svenska Handelsbanken AB 'A',SEK,6045,60,0.05
Sun Life Financial Inc.,CAD,897,51,0.04
China Merchants Port Holdings Co. Ltd.,HKD,30000,51,0.04
LeMaitre Vascular Inc.,USD,583,52,0.04
Bilfinger SE,EUR,1075,50,0.04
The Navigator Co. SA,EUR,13588,49,0.04
Hosiden Corp.,JPY,3400,48,0.04
FUJIFILM Holdings Corp.,JPY,2300,47,0.04
ACI Worldwide Inc.,USD,944,47,0.04
Illumina Inc.,USD,361,47,0.04
Medifast Inc.,USD,2778,47,0.04
Raito Kogyo Co. Ltd.,JPY,3400,46,0.04
BNK Financial Group Inc.,KRW,6601,45,0.03
Kaken Pharmaceutical Co. Ltd.,JPY,1600,44,0.04
Tokyo Steel Manufacturing Co. Ltd.,JPY,4700,43,0.03
Citizen Watch Co. Ltd.,JPY,7400,42,0.03
Banco del Bajio SA Reg. S,MXN,19600,38,0.03
Netwealth Group Ltd.,AUD,2131,37,0.03
Civitas Resources Inc.,USD,868,38,0.03
Ventia Services Group Pty. Ltd.,AUD,16274,35,0.03
Vertiv Holdings Co. 'A',USD,315,35,0.03
CACI International Inc. 'A',USD,87,34,0.03
National Australia Bank Ltd.,AUD,1500,33,0.03
Parex Resources Inc.,CAD,2745,27,0.02
PepsiCo Inc.,USD,177,26,0.02
UBS Group AG,CHF,637,19,0.02
NOS SGPS SA,EUR,2023,7,0.00
The Sumitomo Warehouse Co. Ltd.,JPY,300,5,0.00
